All_GPU,32,0.043768,0.037488,0.061298
All_GPU,48,0.042104,0.038254,0.046512
All_GPU,64,0.060770,0.058297,0.062039
All_GPU,128,0.082816,0.080862,0.083693
All_GPU,238,0.097630,0.095635,0.098734
All_GPU,512,0.083100,0.081152,0.084041
All_GPU,1024,0.082575,0.081207,0.084057
All_GPU_delta_reduction,32,0.046346,0.044359,0.048044
All_GPU_delta_reduction,48,0.040084,0.038736,0.041595
All_GPU_delta_reduction,64,0.047982,0.045748,0.048737
All_GPU_delta_reduction,128,0.083639,0.081644,0.084923
All_GPU_delta_reduction,238,0.097305,0.095963,0.098662
All_GPU_delta_reduction,512,0.084214,0.082209,0.085164
All_GPU_delta_reduction,1024,0.082787,0.081388,0.084727
All_GPU,32,0.042817,0.037658,0.047239
All_GPU,48,0.042159,0.038136,0.046669
All_GPU,64,0.060606,0.058910,0.062040
All_GPU,128,0.082746,0.080827,0.083661
All_GPU,238,0.097035,0.095584,0.098481
All_GPU,512,0.082538,0.081150,0.084049
All_GPU,1024,0.083181,0.081177,0.084471
All_GPU_delta_reduction,32,0.046425,0.044432,0.047750
All_GPU_delta_reduction,48,0.040536,0.038624,0.041379
All_GPU_delta_reduction,64,0.050220,0.045626,0.053012
All_GPU_delta_reduction,128,0.083513,0.081602,0.084460
All_GPU_delta_reduction,238,0.097289,0.095928,0.098728
All_GPU_delta_reduction,512,0.084216,0.082191,0.086344
All_GPU_delta_reduction,1024,0.083346,0.081439,0.084182
